t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,313087553,31559,10047,421457521
1.03,313088180,31559,10047,421457521
2.03,313089521,31561,10047,421457521
3.03,313091340,31565,10047,421457521
4.06,313092373,31567,10047,421457521
5.07,313093708,31569,10047,421457521
6.11,313094681,31569,10047,421457521
7.16,313095781,31571,10047,421457521
8.17,313096918,31573,10047,421457521
9.18,313097878,31575,10047,421457521
10.18,313099133,31577,10047,421457521
11.18,313127230,31582,10047,421457521
12.18,313184941,31591,10048,421470064
13.18,313264212,31599,10051,421682860
14.19,313359357,31609,10056,421977976
15.19,313360134,31612,10056,421977976
16.19,313360873,31612,10056,421977976
17.19,313361906,31614,10056,421977976
18.20,313362715,31616,10056,421977976
19.20,313363436,31618,10056,421977976
20.21,313364148,31618,10056,421977976
21.21,313365177,31620,10056,421977976
22.22,313366030,31622,10056,421977976
23.22,313367531,31624,10056,421977976
24.23,313369042,31626,10056,421977976
25.23,313370548,31628,10056,421977976
26.23,313371643,31630,10056,421977976
27.23,313372798,31632,10056,421977976
28.24,313374034,31634,10056,421977976
29.24,313375269,31636,10056,421977976
30.24,313376402,31638,10056,421977976
31.24,313377517,31640,10056,421977976
32.24,313378608,31642,10056,421977976
33.25,313380538,31646,10056,421977976
34.25,313381628,31648,10056,421977976
35.25,313383765,31650,10056,421977976
36.25,313385432,31652,10056,421977976
37.26,313387856,31656,10056,421977976
38.26,313391016,31660,10056,421977976
39.26,313394448,31666,10056,421977976
40.26,313395611,31668,10056,421977976
41.27,313396767,31670,10056,421977976
42.27,313397835,31672,10056,421977976
43.27,313399857,31676,10056,421977976
44.27,313400895,31678,10056,421977976
45.27,313402012,31680,10056,421977976
46.27,313403583,31682,10056,421977976
47.28,313404797,31684,10056,421977976
48.28,313405887,31686,10056,421977976
49.28,313407159,31688,10056,421977976
50.28,313408236,31690,10056,421977976
51.28,313409374,31692,10056,421977976
52.28,313410559,31694,10056,421977976
53.29,313412408,31697,10056,421977976
54.29,313413427,31699,10056,421977976
55.29,313414527,31700,10056,421977976
56.29,313415850,31702,10056,421977976
57.29,313418252,31706,10056,421977976
58.29,313419564,31709,10056,421977976
59.29,313422201,31713,10056,421977976
60.30,313423496,31715,10056,421977976
61.30,313424447,31717,10056,421977976
62.30,313426163,31720,10056,421977976
63.30,313429794,31724,10056,421977976
64.30,313432556,31727,10056,421977976
65.30,313433361,31729,10056,421977976
66.31,313434385,31729,10056,421977976
67.31,313435112,31731,10056,421977976
68.31,313436676,31733,10056,421977976
69.31,313437814,31735,10056,421977976
70.31,313438894,31737,10056,421977976
71.31,313440062,31739,10056,421977976
72.32,313441039,31741,10056,421977976
73.32,313442762,31743,10056,421977976
74.32,313443557,31745,10056,421977976
75.32,313444411,31747,10056,421977976
76.32,313444899,31747,10056,421977976
77.32,313445611,31749,10056,421977976
78.32,313446351,31751,10056,421977976
79.33,313448263,31753,10056,421977976
80.33,313449319,31755,10056,421977976
81.34,313450339,31757,10056,421977976
82.34,313451524,31759,10056,421977976
83.34,313453649,31763,10056,421977976
84.34,313455097,31765,10056,421977976
85.35,313456201,31767,10056,421977976
86.35,313457283,31769,10056,421977976
87.35,313459126,31772,10056,421977976
88.35,313462101,31775,10056,421977976
89.35,313464897,31778,10056,421977976
90.35,313467032,31782,10056,421977976
91.35,313468363,31784,10056,421977976
92.36,313469409,31786,10056,421977976
93.36,313471531,31789,10056,421977976
94.36,313472683,31791,10056,421977976
95.36,313473764,31792,10056,421977976
96.36,313475186,31796,10056,421977976
97.36,313476310,31798,10056,421977976
98.37,313477406,31800,10056,421977976
99.37,313478569,31802,10056,421977976
100.37,313479616,31804,10056,421977976
101.37,313481384,31806,10056,421977976
102.37,313482520,31808,10056,421977976
103.38,313484684,31812,10056,421977976
104.38,313485720,31814,10056,421977976
105.38,313486892,31816,10056,421977976
106.38,313488077,31818,10056,421977976
107.38,313489241,31820,10056,421977976
108.38,313490735,31822,10056,421977976
109.39,313492057,31825,10056,421977976
110.39,313493169,31827,10056,421977976
111.39,313494305,31829,10056,421977976
112.40,313497225,31834,10056,421977976
113.40,313503140,31840,10056,421977976
114.40,313504263,31844,10056,421977976
115.40,313505301,31846,10056,421977976
116.41,313506590,31848,10056,421977976
117.41,313507673,31850,10056,421977976
118.41,313508637,31852,10056,421977976
119.41,313509861,31854,10056,421977976
120.41,313510913,31856,10056,421977976
121.42,313511945,31858,10056,421977976
122.43,313513027,31860,10056,421977976
123.43,313515584,31864,10056,421977976
124.43,313516622,31866,10056,421977976
125.44,313517712,31868,10056,421977976
126.44,313518816,31869,10056,421977976
127.44,313520104,31871,10056,421977976
128.44,313521184,31873,10056,421977976
129.45,313523621,31877,10056,421977976
130.45,313527259,31881,10056,421977976
131.45,313528201,31882,10056,421977976
132.45,313529873,31885,10056,421977976
133.45,313531851,31887,10056,421977976
134.46,313533579,31890,10056,421977976
135.46,313534538,31892,10056,421977976
136.46,313535483,31894,10056,421977976
137.46,313537209,31896,10056,421977976
138.47,313541788,31901,10056,421977976
139.47,313542675,31905,10056,421977976
140.47,313543396,31905,10056,421977976
141.47,313544119,31907,10056,421977976
142.47,313544911,31909,10056,421977976
143.48,313546448,31910,10056,421977976
144.48,313547226,31911,10056,421977976
145.50,313548883,31915,10056,421977976
146.50,313550158,31917,10056,421977976
147.50,313551282,31919,10056,421977976
148.51,313552264,31921,10056,421977976
149.52,313553509,31923,10056,421977976
150.52,313554615,31925,10056,421977976
151.53,313555661,31927,10056,421977976
152.54,313556787,31929,10056,421977976
153.55,313558058,31931,10056,421977976
154.55,313559818,31933,10056,421977976
155.56,313560953,31935,10056,421977976
156.57,313562699,31939,10056,421977976
157.58,313564082,31941,10056,421977976
158.59,313565492,31945,10056,421977976
159.59,313566804,31947,10056,421977976
160.60,313567816,31949,10056,421977976
161.60,313569096,31951,10056,421977976
162.60,313571185,31955,10056,421977976
163.61,313575923,31961,10056,421977976
164.61,313577648,31963,10056,421977976
165.61,313578694,31965,10056,421977976
166.62,313579815,31967,10056,421977976
167.62,313581408,31969,10056,421977976
168.62,313582506,31971,10056,421977976
169.62,313583756,31973,10056,421977976
170.63,313584808,31975,10056,421977976
171.63,313586008,31977,10056,421977976
172.63,313586971,31979,10056,421977976
173.63,313588140,31981,10056,421977976
174.63,313590114,31985,10056,421977976
175.64,313591026,31987,10056,421977976
176.64,313591890,31987,10056,421977976
177.64,313592616,31989,10056,421977976
178.64,313594252,31991,10056,421977976
179.65,313595589,31994,10056,421977976
180.65,313596735,31996,10056,421977976
181.65,313597999,31998,10056,421977976
182.66,313599177,32000,10056,421977976
183.66,313600734,32003,10056,421977976
184.66,313602351,32005,10056,421977976
185.66,313603130,32007,10056,421977976
186.66,313603947,32007,10056,421977976
187.67,313605239,32011,10056,421977976
188.67,313610913,32018,10056,421977976
189.68,313612158,32020,10056,421977976
190.68,313613296,32022,10056,421977976
191.69,313614406,32024,10056,421977976
192.71,313615455,32026,10056,421977976
193.72,313616857,32028,10056,421977976
194.73,313618740,32030,10056,421977976
195.74,313619852,32032,10056,421977976
196.74,313621145,32034,10056,421977976
197.74,313622324,32036,10056,421977976
198.74,313623360,32038,10056,421977976
199.74,313624372,32040,10056,421977976
200.75,313625403,32042,10056,421977976
201.75,313626561,32044,10056,421977976
202.75,313627701,32046,10056,421977976
203.75,313628788,32048,10056,421977976
204.76,313630324,32050,10056,421977976
205.76,313631070,32052,10056,421977976
206.76,313632746,32054,10056,421977976
207.76,313633945,32056,10056,421977976
208.76,313635147,32058,10056,421977976
209.76,313635889,32060,10056,421977976
210.77,313636566,32060,10056,421977976
211.77,313637282,32062,10056,421977976
212.77,313639040,32064,10056,421977976
213.77,313643945,32070,10056,421977976
214.78,313645264,32070,10056,421977976
215.80,313646146,32073,10056,421977976
216.81,313646971,32074,10056,421977976
217.81,313648318,32076,10056,421977976
218.81,313649479,32078,10056,421977976
219.81,313650741,32080,10056,421977976
220.82,313651875,32082,10056,421977976
221.82,313653127,32084,10056,421977976
222.82,313654268,32086,10056,421977976
223.82,313655334,32088,10056,421977976
224.83,313656386,32090,10056,421977976
225.83,313658246,32093,10056,421977976
226.83,313659264,32095,10056,421977976
227.83,313660284,32096,10056,421977976
228.84,313661645,32100,10056,421977976
229.84,313662896,32102,10056,421977976
230.84,313663572,32102,10056,421977976
231.84,313664261,32104,10056,421977976
232.85,313665135,32106,10056,421977976
233.85,313666502,32108,10056,421977976
234.85,313667414,32108,10056,421977976
235.85,313668717,32110,10056,421977976
236.86,313669811,32112,10056,421977976
237.86,313671808,32115,10056,421977976
238.86,313677390,32122,10056,421977976
239.86,313678898,32124,10056,421977976
240.88,313680064,32126,10056,421977976
241.88,313681126,32128,10056,421977976
242.88,313682241,32130,10056,421977976
243.89,313683482,32132,10056,421977976
244.89,313684627,32134,10056,421977976
245.89,313686354,32136,10056,421977976
246.89,313687492,32138,10056,421977976
247.89,313688555,32140,10056,421977976
248.91,313689677,32142,10056,421977976
249.91,313690941,32144,10056,421977976
250.91,313692682,32148,10056,421977976
251.91,313693752,32150,10056,421977976
252.91,313694779,32152,10056,421977976
253.92,313696065,32154,10056,421977976
254.92,313697237,32156,10056,421977976
255.92,313699650,32158,10056,421977976
256.92,313700932,32162,10056,421977976
257.92,313702061,32164,10056,421977976
258.93,313703493,32166,10056,421977976
259.93,313704765,32168,10056,421977976
260.93,313705891,32170,10056,421977976
261.93,313707319,32172,10056,421977976
262.93,313710165,32175,10056,421977976
263.94,313713541,32181,10056,421977976
264.94,313714509,32183,10056,421977976
265.94,313715729,32185,10056,421977976
266.94,313716698,32187,10056,421977976
267.95,313717409,32187,10056,421977976
268.95,313718135,32189,10056,421977976
269.95,313719235,32191,10056,421977976
270.96,313720004,32191,10056,421977976
271.97,313720754,32193,10056,421977976
272.97,313722230,32195,10056,421977976
273.97,313723298,32197,10056,421977976
274.97,313724233,32199,10056,421977976
275.97,313725705,32201,10056,421977976
276.98,313726767,32203,10056,421977976
277.98,313727517,32203,10056,421977976
278.98,313728233,32205,10056,421977976
279.98,313729151,32207,10056,421977976
280.98,313729874,32207,10056,421977976
281.99,313730584,32209,10056,421977976
282.99,313731670,32211,10056,421977976
283.99,313733636,32215,10056,421977976
285.00,313734833,32217,10056,421977976
286.00,313736676,32219,10056,421977976
287.00,313737993,32221,10056,421977976
288.00,313741101,32226,10056,421977976
289.01,313744479,32233,10056,421977976
290.01,313745548,32235,10056,421977976
291.01,313746659,32237,10056,421977976
292.01,313747869,32239,10056,421977976
293.02,313749186,32241,10056,421977976
294.02,313750289,32243,10056,421977976
295.02,313752459,32245,10056,421977976
296.03,313754628,32249,10056,421977976
297.03,313756130,32251,10056,421977976
298.03,313757234,32253,10056,421977976
299.03,313758299,32255,10056,421977976
300.03,313759312,32257,10056,421977976
301.04,313760520,32259,10056,421977976
302.04,313761650,32261,10056,421977976
303.04,313762883,32263,10056,421977976
304.05,313764045,32265,10056,421977976
