t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,183618792,21085,6875,347311853
1.02,183779510,21095,6885,348063422
2.03,183945375,21106,6896,348882835
3.04,184104028,21116,6906,349636649
4.04,184271067,21126,6916,350385734
5.05,184433680,21136,6926,351128504
6.06,184593485,21146,6936,351877571
7.07,184648983,21153,6940,352183086
8.07,184649718,21154,6940,352183086
9.08,184650558,21156,6940,352183086
10.08,184652416,21158,6940,352183086
11.08,184697416,21164,6940,352183086
12.09,184739969,21171,6940,352183086
13.09,184905713,21181,6949,352846637
14.10,185057435,21191,6959,353252187
15.10,185219475,21201,6965,353458877
16.11,185382874,21211,6975,354204191
17.12,185541557,21221,6985,354536947
18.12,185699825,21232,6994,354651625
19.13,185860293,21242,6998,354715341
20.13,186019092,21252,7007,354815663
21.14,186179789,21262,7017,354973633
22.15,186344253,21272,7026,355083274
23.15,186500430,21282,7036,355147369
24.16,186663340,21292,7046,355309911
25.16,186818444,21302,7054,355386857
26.17,186981130,21312,7061,355626516
27.17,187147541,21322,7071,355866776
28.18,187305199,21332,7081,356225871
29.18,187461612,21342,7090,356367191
30.19,187610718,21352,7090,356367191
31.19,187765634,21362,7092,356375174
32.20,187925735,21372,7099,356510941
33.20,188091109,21382,7109,356743095
34.21,188248268,21392,7117,357061706
35.21,188403692,21402,7125,357117759
36.21,188550469,21412,7129,357164483
37.22,188702632,21422,7134,357181625
38.22,188856245,21433,7138,357335209
39.23,189023804,21443,7148,357935286
40.24,189183919,21453,7158,358593514
41.25,189342637,21463,7167,358954049
42.29,189512376,21473,7177,359146785
43.31,189675127,21483,7187,359507008
44.32,189823435,21493,7194,359895041
45.34,189970131,21504,7195,359895041
46.37,190126230,21514,7198,359896096
47.37,190282994,21524,7203,359911446
48.40,190450344,21534,7212,360320715
49.45,190613952,21545,7223,360605588
50.46,190771229,21555,7228,360644169
51.49,190931810,21565,7234,360703371
52.55,191102123,21576,7245,360919846
53.56,191271895,21586,7254,361296567
54.58,191422743,21596,7264,361609063
55.62,191573940,21606,7265,361609063
56.63,191718801,21617,7266,361609063
57.64,191876084,21627,7269,361612661
58.64,192020726,21637,7271,361612661
59.65,192171811,21647,7272,361612661
60.65,192320178,21657,7272,361612661
61.66,192484491,21667,7278,361781866
62.66,192638598,21677,7285,361837623
63.67,192809602,21687,7294,362295476
64.71,192968408,21697,7304,362621262
65.76,193121418,21708,7307,362650322
66.78,193268737,21718,7307,362650322
67.80,193427502,21728,7310,362687601
68.81,193582720,21738,7313,362748739
69.82,193730527,21749,7316,362758824
70.85,193885781,21759,7318,362758824
71.86,194031988,21769,7319,362758824
72.89,194197170,21779,7324,362810428
73.92,194362956,21790,7335,363343762
74.96,194511647,21800,7337,363343762
76.00,194680940,21810,7342,363373608
77.01,194840700,21820,7351,363605185
78.03,195002214,21831,7359,363668001
79.05,195155021,21841,7362,363674894
80.06,195313330,21851,7367,363744566
81.10,195471254,21861,7369,363757200
82.12,195630459,21872,7374,363762894
83.16,195795823,21882,7379,364023915
84.22,195954205,21893,7390,364385016
85.29,196119783,21903,7395,364522032
86.37,196277289,21914,7396,364523770
87.41,196426780,21924,7396,364523770
88.44,196595287,21935,7406,364776335
89.45,196747479,21945,7414,364865199
90.46,196899571,21955,7415,364879763
91.49,197051426,21965,7415,364879763
92.50,197196775,21975,7416,364883448
93.52,197356272,21985,7423,364942610
94.53,197517202,21996,7434,365447469
95.54,197664390,22006,7436,365454752
96.55,197814369,22016,7437,365465651
97.56,197959125,22026,7438,365476415
98.57,198114797,22036,7442,365476415
99.62,198265946,22046,7442,365476415
100.63,198431820,22057,7453,365742423
101.64,198588085,22067,7460,365837958
102.66,198734878,22077,7461,365837958
103.67,198886681,22087,7463,365837958
104.68,199047236,22097,7466,365867094
105.69,199196411,22107,7475,366365484
106.70,199343885,22117,7476,366365484
107.71,199499827,22127,7480,366393729
108.72,199656108,22138,7481,366394860
109.73,199806839,22148,7483,366394860
110.74,199955272,22158,7484,366394860
111.76,200113308,22168,7486,366423917
112.76,200273147,22178,7496,366607057
113.77,200426844,22188,7502,366689715
114.77,200586953,22198,7507,366894143
115.77,200731831,22208,7514,367198346
116.78,200894046,22218,7521,367214809
117.79,201038122,22228,7524,367214809
118.79,201193713,22238,7529,367219978
119.81,201347943,22248,7533,367222986
120.81,201498562,22258,7536,367237517
121.81,201650826,22268,7536,367237517
122.83,201810141,22279,7543,367334621
123.84,201959839,22289,7545,367341849
124.86,202132954,22299,7555,367665015
125.89,202280441,22309,7561,367989671
126.93,202434345,22320,7562,367989671
127.96,202595092,22330,7566,368012164
128.99,202745078,22340,7572,368110506
130.04,202894982,22351,7573,368125100
131.08,203052785,22361,7574,368127199
132.13,203226028,22372,7583,368209471
133.15,203379989,22382,7590,368278151
134.18,203541369,22392,7598,368322042
135.20,203697941,22402,7605,368702926
136.21,203859077,22412,7614,368811494
137.27,204030157,22423,7625,369063821
138.33,204185220,22434,7629,369097277
139.44,204347058,22445,7633,369173722
140.46,204501921,22455,7635,369179762
141.55,204657899,22466,7636,369190405
142.57,204806545,22476,7637,369190405
143.63,204958268,22487,7637,369190405
144.63,205127217,22497,7643,369430135
145.64,205274112,22507,7651,369623720
146.64,205412014,22517,7652,369623720
147.65,205574799,22527,7658,369699949
148.66,205739985,22537,7668,369871617
149.67,205896979,22547,7676,370043028
150.68,206041142,22557,7678,370073494
151.69,206184819,22567,7679,370076017
152.70,206339642,22577,7684,370107778
153.71,206486916,22587,7686,370107778
154.72,206634664,22597,7688,370107778
155.74,206802410,22608,7697,370508367
156.75,206944633,22618,7700,370512471
157.76,207093439,22628,7701,370512471
158.77,207247832,22638,7703,370528853
159.78,207399716,22648,7703,370528853
160.79,207563924,22658,7710,370748819
161.80,207715561,22668,7717,370871131
