t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,13684922,0,0,0
1.02,13690555,0,0,0
2.03,13691597,0,0,0
3.04,13692774,0,0,0
4.04,13693898,0,0,0
5.05,13695664,0,0,0
6.06,13699782,0,0,0
7.07,13701521,0,0,0
8.07,13703005,0,0,0
9.08,13704431,0,0,0
10.08,13705650,0,0,0
11.08,13711140,0,0,0
12.09,13720200,0,0,0
13.09,13729422,0,0,0
14.10,13735329,0,0,0
15.10,13737021,0,0,0
16.11,13738057,0,0,0
17.12,13742353,0,0,0
18.12,13743519,0,0,0
19.13,13744594,0,0,0
20.13,13745581,0,0,0
21.14,13746543,0,0,0
22.15,13747667,0,0,0
23.15,13752523,0,0,0
24.16,13753444,0,0,0
25.16,13755055,0,0,0
26.17,13756081,0,0,0
27.17,13757099,0,0,0
28.18,13761800,0,0,0
29.18,13762836,0,0,0
30.19,13763856,0,0,0
31.19,13765016,0,0,0
32.20,13766010,0,0,0
33.20,13767041,0,0,0
34.21,13771847,0,0,0
35.21,13773466,0,0,0
36.21,13774503,0,0,0
37.22,13775455,0,0,0
38.22,13776433,0,0,0
39.23,13782095,0,0,0
40.24,13783318,0,0,0
41.25,13784573,0,0,0
42.29,13785568,0,0,0
43.31,13786707,0,0,0
44.32,13788508,0,0,0
45.34,13793524,0,0,0
46.37,13798701,0,0,0
47.37,13799800,0,0,0
48.40,13800923,0,0,0
49.45,13802299,0,0,0
50.46,13816717,0,0,0
51.49,13817958,0,0,0
52.55,13819034,0,0,0
53.56,13820063,0,0,0
54.58,13821300,0,0,0
55.62,13827155,0,0,0
56.63,13828670,0,0,0
57.64,13829640,0,0,0
58.64,13830661,0,0,0
59.65,13831694,0,0,0
60.65,13832666,0,0,0
61.66,13837523,0,0,0
62.66,13838537,0,0,0
63.67,13839792,0,0,0
64.71,13840862,0,0,0
65.76,13842795,0,0,0
66.78,13847931,0,0,0
67.80,13849113,0,0,0
68.81,13850065,0,0,0
69.82,13851114,0,0,0
70.85,13852191,0,0,0
71.86,13853158,0,0,0
72.89,13860611,0,0,0
73.92,13866858,0,0,0
74.96,13870706,0,0,0
76.00,13876175,0,0,0
77.01,13885892,0,0,0
78.03,13893345,0,0,0
79.05,13894378,0,0,0
80.06,13895438,0,0,0
81.10,13896475,0,0,0
82.12,13897558,0,0,0
83.16,13899179,0,0,0
84.22,13906186,0,0,0
85.29,13907373,0,0,0
86.37,13908855,0,0,0
87.41,13910181,0,0,0
88.44,13911801,0,0,0
89.45,13919362,0,0,0
90.46,13920293,0,0,0
91.49,13921377,0,0,0
92.50,13922297,0,0,0
93.52,13923253,0,0,0
94.53,13930248,0,0,0
95.54,13931582,0,0,0
96.55,13933035,0,0,0
97.56,13934023,0,0,0
98.57,13935239,0,0,0
99.62,13936835,0,0,0
100.63,13950222,0,0,0
101.64,13951404,0,0,0
102.66,13952655,0,0,0
103.67,13953677,0,0,0
104.68,13954749,0,0,0
105.69,13965287,0,0,0
106.70,13967020,0,0,0
107.71,13968220,0,0,0
108.72,13969202,0,0,0
109.73,13970438,0,0,0
110.74,13974916,0,0,0
111.76,13979131,0,0,0
112.76,13980169,0,0,0
113.77,13981240,0,0,0
114.77,13982355,0,0,0
115.77,13983647,0,0,0
116.78,13991318,0,0,0
117.79,13992425,0,0,0
118.79,13993505,0,0,0
119.81,13994655,0,0,0
120.81,13995752,0,0,0
121.81,14000686,0,0,0
122.83,14004960,0,0,0
123.84,14006123,0,0,0
124.86,14007402,0,0,0
125.89,14008394,0,0,0
126.93,14010085,0,0,0
127.96,14024576,0,0,0
128.99,14025661,0,0,0
130.04,14026775,0,0,0
131.08,14027885,0,0,0
132.13,14029115,0,0,0
133.15,14036840,0,0,0
134.18,14038054,0,0,0
135.20,14039407,0,0,0
136.21,14040558,0,0,0
137.27,14041929,0,0,0
138.33,14046450,0,0,0
139.44,14050552,0,0,0
140.46,14051506,0,0,0
141.55,14052561,0,0,0
142.57,14053600,0,0,0
143.63,14055045,0,0,0
144.63,14061966,0,0,0
145.64,14063095,0,0,0
146.64,14064648,0,0,0
147.65,14065609,0,0,0
148.66,14066610,0,0,0
149.67,14074273,0,0,0
150.68,14075287,0,0,0
151.69,14076363,0,0,0
152.70,14077275,0,0,0
153.71,14078443,0,0,0
154.72,14079829,0,0,0
155.74,14095479,0,0,0
156.75,14097017,0,0,0
157.76,14097915,0,0,0
158.77,14099021,0,0,0
159.78,14100237,0,0,0
160.79,14107656,0,0,0
161.80,14108738,0,0,0
162.81,14109795,0,0,0
163.82,14110879,0,0,0
164.83,14112091,0,0,0
165.83,14119723,0,0,0
166.84,14124306,0,0,0
167.86,14125289,0,0,0
168.88,14126268,0,0,0
169.90,14127301,0,0,0
170.91,14128432,0,0,0
171.94,14135379,0,0,0
172.98,14136604,0,0,0
174.02,14137625,0,0,0
175.03,14138939,0,0,0
176.07,14140193,0,0,0
177.08,14148713,0,0,0
178.12,14149735,0,0,0
179.13,14150825,0,0,0
180.16,14151825,0,0,0
181.17,14152940,0,0,0
182.17,14153997,0,0,0
183.23,14164792,0,0,0
184.26,14165690,0,0,0
185.32,14167101,0,0,0
186.33,14168153,0,0,0
187.38,14170146,0,0,0
188.41,14178244,0,0,0
189.47,14179316,0,0,0
190.49,14180161,0,0,0
191.52,14181440,0,0,0
192.55,14182477,0,0,0
193.58,14189244,0,0,0
194.61,14190242,0,0,0
195.62,14191499,0,0,0
196.63,14192569,0,0,0
197.64,14194149,0,0,0
198.65,14195678,0,0,0
199.65,14205856,0,0,0
200.65,14206812,0,0,0
