t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,264339628,27641,8556,390408107
1.04,264341635,27645,8556,390408107
2.05,264342609,27647,8556,390408107
3.07,264343600,27647,8556,390408107
4.08,264344499,27649,8556,390408107
5.09,264346180,27651,8556,390408107
6.11,264347071,27653,8556,390408107
7.12,264347999,27655,8556,390408107
8.12,264349631,27657,8556,390408107
9.13,264351213,27659,8556,390408107
10.13,264352480,27661,8556,390408107
11.14,264353741,27663,8556,390408107
12.15,264397471,27669,8557,390408107
13.15,264433137,27675,8557,390408107
14.16,264593040,27685,8565,390964451
15.16,264751533,27695,8574,391293413
16.17,264904044,27705,8581,391400884
17.17,265052472,27715,8584,391402508
18.17,265209222,27725,8586,391403177
19.18,265368799,27736,8597,391668919
20.19,265530167,27746,8607,391850466
21.19,265688557,27756,8613,391949105
22.19,265846280,27766,8621,391982015
23.20,266009205,27776,8631,392447324
24.20,266161566,27786,8633,392464124
25.21,266284807,27796,8636,392490433
26.21,266432575,27806,8640,392513244
27.22,266591642,27816,8648,392608746
28.23,266739954,27826,8651,392622998
29.23,266899902,27836,8657,392784255
30.24,267054099,27846,8665,392828183
31.24,267220775,27856,8674,392999126
32.25,267373069,27866,8681,393070748
33.25,267530207,27876,8682,393071715
34.26,267689976,27886,8692,393538345
35.26,267838831,27896,8693,393538345
36.27,267966082,27906,8693,393538345
37.28,268125054,27916,8698,393577058
38.28,268284759,27927,8702,393621682
39.29,268446489,27937,8712,394159092
40.29,268610764,27947,8722,394804055
41.29,268772862,27957,8732,395337092
42.30,268928121,27967,8742,395574497
43.30,269090014,27977,8752,395881571
44.31,269248781,27987,8762,396100080
45.31,269412237,27997,8772,396669861
46.32,269533965,28007,8777,396783943
47.33,269693608,28017,8782,396909485
48.33,269847486,28027,8789,397002410
49.35,270003560,28037,8798,397241163
50.36,270159839,28047,8801,397253384
51.37,270306716,28057,8802,397271533
52.37,270456882,28067,8803,397276152
53.38,270610622,28078,8803,397276152
54.38,270770290,28087,8808,397277777
55.39,270933805,28098,8819,397949792
56.40,271079988,28108,8822,397997952
57.41,271200876,28118,8824,398017752
58.42,271351022,28128,8829,398042737
59.43,271511747,28138,8834,398079124
60.44,271664113,28148,8838,398092018
61.45,271823178,28158,8841,398100520
62.45,271974038,28168,8843,398101166
63.46,272122408,28178,8844,398118830
64.47,272284643,28188,8851,398165051
65.47,272445332,28198,8859,398606297
66.48,272601734,28209,8865,398673224
67.48,272737447,28219,8872,398781970
68.49,272889346,28229,8875,398824680
69.49,273037164,28239,8879,398866314
70.50,273188134,28249,8879,398866314
71.50,273331806,28259,8881,398866562
72.51,273486926,28269,8887,398965454
73.51,273641436,28279,8890,398989879
74.52,273793366,28289,8891,398989879
75.52,273962348,28299,8897,399316229
76.53,274109932,28309,8904,399501789
77.53,274264023,28319,8909,399527461
78.53,274388215,28329,8912,399565213
79.53,274545318,28339,8922,399692484
80.54,274700381,28349,8928,399782966
81.55,274851367,28359,8929,399782966
82.55,275011560,28369,8934,399873850
83.56,275158028,28379,8937,399896154
84.56,275309531,28389,8940,399897523
85.57,275460096,28399,8942,399898687
86.58,275623404,28409,8951,400273802
87.58,275775115,28420,8956,400419322
88.59,275917381,28430,8957,400421187
89.60,276047528,28440,8961,400435758
90.60,276208097,28450,8971,400621282
91.61,276371198,28460,8981,400860295
92.64,276521748,28470,8985,400930601
93.64,276676049,28480,8989,400951378
94.65,276831581,28490,8990,400951378
95.66,276986852,28500,8993,400962533
96.67,277143974,28510,9003,401478110
97.67,277302467,28520,9008,401525448
98.68,277453345,28531,9011,401544961
99.69,277570414,28541,9012,401544961
100.70,277730027,28551,9020,401637836
101.72,277881683,28561,9023,401645447
102.73,278032689,28571,9026,401655899
103.75,278197780,28581,9036,401913821
104.77,278358048,28591,9046,401975720
105.77,278507138,28601,9050,402029832
106.77,278669136,28611,9060,402488676
107.78,278828912,28622,9070,402561088
108.78,278979707,28632,9073,402567306
109.79,279116576,28642,9073,402567306
110.79,279244565,28652,9074,402567306
111.79,279404682,28662,9079,402602715
112.80,279553403,28672,9082,402613918
113.80,279707913,28682,9085,402633074
114.81,279868632,28692,9088,402700598
115.81,280040154,28702,9098,403151196
116.81,280185745,28712,9107,403476109
117.82,280336260,28722,9110,403479742
118.82,280488377,28732,9111,403493418
119.83,280638201,28742,9112,403497144
120.83,280748169,28752,9112,403497144
121.84,280903187,28762,9116,403532707
122.84,281050589,28772,9119,403546090
123.85,281201147,28782,9122,403548692
124.85,281349343,28792,9125,403552278
125.86,281517533,28802,9134,403597033
126.86,281674819,28812,9144,404081098
127.87,281834788,28822,9154,404351757
128.87,281989842,28832,9161,404414956
129.87,282134768,28842,9164,404478677
130.88,282274819,28853,9164,404478677
131.88,282401458,28863,9166,404489585
132.89,282553798,28873,9171,404509354
133.89,282700942,28883,9171,404509354
134.90,282857215,28893,9174,404527421
135.90,283005138,28903,9174,404527421
136.91,283156698,28913,9175,404533947
137.91,283319780,28923,9184,404983281
138.92,283481396,28933,9191,405064483
139.92,283643381,28943,9201,405341518
140.93,283790944,28953,9203,405374356
141.94,283910261,28963,9204,405375033
142.94,284054753,28973,9208,405402280
143.95,284208536,28983,9211,405468910
144.95,284360136,28993,9213,405468910
145.96,284510656,29003,9216,405482059
146.96,284664375,29013,9220,405482059
147.97,284819779,29023,9227,405876641
148.97,284968291,29033,9232,405946203
149.98,285120471,29044,9235,405968096
150.98,285279028,29054,9242,406025072
151.99,285440218,29064,9252,406257273
