t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,95169560,21256,3121,89489225
1.04,95172772,21262,3121,89489225
2.04,95175608,21267,3121,89489225
3.06,95178647,21273,3121,89489225
4.07,95181678,21279,3121,89489225
5.07,95184758,21283,3121,89489225
6.07,95229226,21291,3123,89606289
7.07,95283206,21300,3125,89701366
8.11,95365525,21309,3129,89876121
9.11,95411478,21319,3129,89876121
10.12,95456968,21329,3129,89876121
11.12,95504705,21339,3129,89876121
12.12,95555597,21349,3129,89876121
13.12,95598407,21359,3129,89876121
14.12,95643039,21369,3129,89876121
15.13,95686483,21379,3129,89876121
16.13,95731354,21390,3129,89876121
17.13,95773923,21400,3129,89876121
18.13,95815636,21410,3129,89876121
19.13,95849118,21420,3129,89876121
20.14,95892235,21430,3129,89876121
21.14,95933467,21440,3129,89876121
22.14,95977096,21450,3129,89876121
23.14,96027436,21460,3129,89876121
24.14,96080756,21470,3129,89876121
25.24,96126344,21481,3129,89876121
26.24,96168465,21491,3129,89876121
27.24,96211898,21501,3129,89876121
28.25,96253394,21511,3129,89876121
29.26,96296576,21521,3129,89876121
30.26,96334473,21531,3129,89876121
31.26,96376994,21541,3129,89876121
32.26,96419172,21551,3129,89876121
33.27,96461056,21561,3129,89876121
34.27,96501394,21571,3129,89876121
35.27,96557553,21581,3129,89876121
36.27,96612412,21591,3129,89876121
37.27,96656026,21601,3129,89876121
38.27,96704050,21611,3129,89876121
39.27,96744546,21621,3129,89876121
40.28,96789030,21631,3129,89876121
41.28,96822997,21641,3129,89876121
42.28,96865084,21651,3129,89876121
43.28,96906396,21661,3129,89876121
44.28,96948949,21671,3129,89876121
45.28,96992542,21681,3129,89876121
46.28,97036669,21691,3129,89876121
47.29,97084281,21701,3129,89876121
48.29,97135706,21711,3129,89876121
49.29,97179198,21721,3129,89876121
50.29,97221239,21731,3129,89876121
51.29,97260644,21741,3129,89876121
52.29,97297255,21751,3129,89876121
53.29,97336787,21761,3129,89876121
54.29,97379861,21771,3129,89876121
55.29,97426002,21781,3129,89876121
56.30,97468273,21791,3129,89876121
57.30,97510237,21801,3129,89876121
58.30,97555157,21811,3129,89876121
59.30,97601050,21821,3129,89876121
60.30,97652499,21831,3129,89876121
61.30,97695215,21841,3129,89876121
62.30,97735698,21851,3129,89876121
63.30,97770216,21861,3129,89876121
64.31,97811066,21871,3129,89876121
65.31,97853544,21881,3129,89876121
66.31,97895319,21891,3129,89876121
67.31,97937841,21901,3129,89876121
68.31,97981338,21911,3129,89876121
69.32,98022616,21921,3129,89876121
70.32,98061671,21931,3129,89876121
71.32,98107539,21941,3129,89876121
72.32,98157465,21951,3129,89876121
73.33,98197176,21961,3129,89876121
74.33,98236285,21971,3129,89876121
75.33,98279114,21982,3129,89876121
76.33,98322079,21992,3129,89876121
77.33,98363526,22002,3129,89876121
78.34,98410123,22012,3129,89876121
79.34,98452110,22022,3129,89876121
80.34,98495911,22032,3129,89876121
81.34,98539682,22042,3129,89876121
82.35,98581441,22052,3129,89876121
83.35,98628234,22062,3129,89876121
84.35,98670407,22072,3129,89876121
85.35,98708220,22082,3129,89876121
86.35,98750292,22092,3129,89876121
87.35,98790459,22102,3129,89876121
88.35,98831197,22112,3129,89876121
89.35,98873625,22122,3129,89876121
90.36,98915454,22132,3129,89876121
91.36,98959787,22142,3129,89876121
92.36,99000857,22152,3129,89876121
93.36,99045060,22162,3129,89876121
94.36,99088016,22172,3129,89876121
95.37,99126239,22182,3129,89876121
96.37,99166632,22192,3129,89876121
97.37,99210003,22202,3129,89876121
98.37,99261056,22212,3129,89876121
99.37,99305797,22222,3129,89876121
100.37,99347173,22232,3129,89876121
101.38,99388086,22242,3129,89876121
102.38,99432909,22252,3129,89876121
