t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,7584576,0,0,0
1.00,7585981,0,0,0
2.00,7587339,0,0,0
3.01,7588489,0,0,0
4.11,7589710,0,0,0
5.13,7595884,0,0,0
6.23,7597313,0,0,0
7.23,7599286,0,0,0
8.23,7600493,0,0,0
9.23,7608046,0,0,0
10.23,7614709,0,0,0
11.24,7625399,0,0,0
12.24,7629932,0,0,0
13.24,7631160,0,0,0
14.24,7632279,0,0,0
15.24,7633487,0,0,0
16.24,7640348,0,0,0
17.24,7641856,0,0,0
18.25,7643494,0,0,0
19.25,7644477,0,0,0
20.25,7645473,0,0,0
21.28,7657332,0,0,0
22.29,7661499,0,0,0
23.29,7662796,0,0,0
24.29,7663628,0,0,0
25.29,7664706,0,0,0
26.29,7665839,0,0,0
27.29,7673288,0,0,0
28.29,7674517,0,0,0
29.30,7675909,0,0,0
30.30,7677074,0,0,0
31.30,7678094,0,0,0
32.30,7682576,0,0,0
33.31,7684918,0,0,0
34.31,7686269,0,0,0
35.32,7687409,0,0,0
36.32,7688569,0,0,0
37.32,7689916,0,0,0
38.32,7698305,0,0,0
39.32,7699403,0,0,0
40.32,7700863,0,0,0
41.32,7701919,0,0,0
42.32,7703291,0,0,0
43.33,7707706,0,0,0
44.33,7709829,0,0,0
45.33,7711176,0,0,0
46.33,7712308,0,0,0
47.33,7713744,0,0,0
48.33,7714648,0,0,0
49.33,7722090,0,0,0
50.34,7723254,0,0,0
51.34,7724647,0,0,0
52.34,7725731,0,0,0
53.34,7726780,0,0,0
54.34,7731098,0,0,0
55.36,7734931,0,0,0
56.36,7736211,0,0,0
57.36,7737482,0,0,0
58.36,7738577,0,0,0
59.36,7739579,0,0,0
60.36,7746916,0,0,0
61.36,7747960,0,0,0
62.37,7749664,0,0,0
63.37,7750908,0,0,0
64.37,7751874,0,0,0
65.37,7756091,0,0,0
66.37,7758360,0,0,0
67.37,7760134,0,0,0
68.37,7761022,0,0,0
69.37,7762040,0,0,0
70.38,7763108,0,0,0
71.38,7775505,0,0,0
72.38,7780155,0,0,0
73.40,7782000,0,0,0
74.40,7783208,0,0,0
75.40,7784145,0,0,0
76.40,7788692,0,0,0
77.40,7791305,0,0,0
78.40,7792864,0,0,0
79.41,7794028,0,0,0
80.41,7794959,0,0,0
81.41,7796099,0,0,0
82.41,7802958,0,0,0
83.41,7804229,0,0,0
84.41,7805805,0,0,0
85.41,7806782,0,0,0
86.41,7807996,0,0,0
87.41,7812367,0,0,0
88.42,7814960,0,0,0
89.42,7816169,0,0,0
90.42,7817317,0,0,0
91.42,7818360,0,0,0
92.42,7819526,0,0,0
93.43,7826354,0,0,0
94.43,7827610,0,0,0
95.43,7829010,0,0,0
96.43,7830013,0,0,0
97.43,7831434,0,0,0
98.43,7835681,0,0,0
99.44,7839413,0,0,0
100.45,7841000,0,0,0
101.45,7841825,0,0,0
102.45,7843058,0,0,0
103.45,7844131,0,0,0
104.45,7850883,0,0,0
105.45,7852045,0,0,0
106.45,7853720,0,0,0
107.45,7855323,0,0,0
108.46,7856361,0,0,0
109.46,7860532,0,0,0
110.47,7862926,0,0,0
111.47,7864321,0,0,0
112.47,7865666,0,0,0
113.47,7866716,0,0,0
114.47,7867780,0,0,0
115.47,7874418,0,0,0
116.47,7875609,0,0,0
117.47,7877687,0,0,0
118.48,7878797,0,0,0
119.48,7879867,0,0,0
120.48,7884054,0,0,0
121.48,7885125,0,0,0
122.48,7886260,0,0,0
123.48,7887384,0,0,0
124.48,7888568,0,0,0
125.48,7892003,0,0,0
126.49,7903587,0,0,0
127.52,7905283,0,0,0
128.52,7906829,0,0,0
129.53,7908001,0,0,0
130.53,7908979,0,0,0
131.53,7913575,0,0,0
132.54,7917523,0,0,0
133.57,7918961,0,0,0
134.61,7919952,0,0,0
135.65,7920885,0,0,0
136.68,7924230,0,0,0
137.69,7930362,0,0,0
138.69,7931669,0,0,0
139.69,7933133,0,0,0
140.69,7934096,0,0,0
141.69,7935434,0,0,0
142.69,7939899,0,0,0
143.69,7940909,0,0,0
144.70,7941944,0,0,0
145.70,7943104,0,0,0
146.70,7944130,0,0,0
147.70,7947833,0,0,0
148.70,7953423,0,0,0
149.70,7954597,0,0,0
150.70,7956205,0,0,0
151.71,7957278,0,0,0
152.71,7958684,0,0,0
153.71,7963217,0,0,0
154.71,7964278,0,0,0
155.71,7965273,0,0,0
156.71,7966310,0,0,0
157.71,7967810,0,0,0
158.72,7970895,0,0,0
159.72,7976492,0,0,0
160.72,7977607,0,0,0
161.72,7979145,0,0,0
162.72,7980371,0,0,0
163.73,7981344,0,0,0
164.73,7985935,0,0,0
165.73,7987066,0,0,0
166.73,7988040,0,0,0
167.73,7989676,0,0,0
168.74,7990799,0,0,0
169.74,7995344,0,0,0
170.74,7999763,0,0,0
171.74,8001255,0,0,0
172.74,8002834,0,0,0
173.75,8004151,0,0,0
174.75,8005114,0,0,0
175.75,8009359,0,0,0
176.75,8010317,0,0,0
177.75,8011820,0,0,0
178.75,8012729,0,0,0
179.83,8013878,0,0,0
180.83,8019870,0,0,0
181.84,8031454,0,0,0
182.84,8032914,0,0,0
183.84,8033875,0,0,0
184.84,8034902,0,0,0
185.84,8035983,0,0,0
186.84,8040249,0,0,0
187.85,8041822,0,0,0
188.85,8042802,0,0,0
189.85,8043856,0,0,0
190.85,8044872,0,0,0
191.85,8052929,0,0,0
192.85,8057729,0,0,0
193.85,8059324,0,0,0
194.85,8060331,0,0,0
195.86,8061283,0,0,0
196.86,8062403,0,0,0
197.86,8066851,0,0,0
198.86,8067900,0,0,0
199.86,8069059,0,0,0
200.86,8070141,0,0,0
201.86,8071545,0,0,0
202.86,8079835,0,0,0
203.86,8081389,0,0,0
204.87,8082890,0,0,0
205.87,8084044,0,0,0
206.87,8085082,0,0,0
207.87,8086431,0,0,0
208.87,8090941,0,0,0
209.87,8092140,0,0,0
210.87,8093102,0,0,0
211.87,8094325,0,0,0
212.87,8095345,0,0,0
213.87,8103296,0,0,0
214.88,8104894,0,0,0
215.88,8106907,0,0,0
216.88,8107829,0,0,0
217.88,8109320,0,0,0
218.88,8110313,0,0,0
219.88,8114759,0,0,0
220.88,8115771,0,0,0
221.89,8117247,0,0,0
222.89,8118302,0,0,0
223.89,8119201,0,0,0
224.89,8123806,0,0,0
225.90,8128602,0,0,0
226.90,8129983,0,0,0
227.90,8131525,0,0,0
228.90,8132526,0,0,0
229.90,8133620,0,0,0
230.90,8138050,0,0,0
231.90,8139117,0,0,0
232.91,8140189,0,0,0
233.91,8141260,0,0,0
234.91,8142246,0,0,0
235.91,8147053,0,0,0
236.92,8157501,0,0,0
237.92,8159445,0,0,0
238.92,8160427,0,0,0
239.92,8161388,0,0,0
240.93,8162341,0,0,0
241.93,8166981,0,0,0
242.93,8168175,0,0,0
243.93,8169066,0,0,0
244.93,8170049,0,0,0
245.93,8171092,0,0,0
246.93,8179837,0,0,0
247.94,8181833,0,0,0
248.94,8183344,0,0,0
