t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,6195790,0,0,0
1.02,6197124,0,0,0
2.03,6198496,0,0,0
3.08,6202701,0,0,0
4.12,6204349,0,0,0
5.22,6205450,0,0,0
6.32,6206538,0,0,0
7.42,6207861,0,0,0
8.42,6212450,0,0,0
9.42,6213679,0,0,0
10.42,6215382,0,0,0
11.42,6230585,0,0,0
12.42,6232762,0,0,0
13.42,6242993,0,0,0
14.42,6255084,0,0,0
15.42,6256802,0,0,0
16.42,6258160,0,0,0
17.43,6259092,0,0,0
18.43,6260066,0,0,0
19.43,6264846,0,0,0
20.43,6266167,0,0,0
21.43,6267149,0,0,0
22.43,6268513,0,0,0
23.43,6269441,0,0,0
24.44,6278820,0,0,0
25.44,6280357,0,0,0
26.44,6282009,0,0,0
27.44,6283004,0,0,0
28.45,6284287,0,0,0
29.45,6285399,0,0,0
30.45,6289879,0,0,0
31.45,6290813,0,0,0
32.45,6292378,0,0,0
33.46,6293146,0,0,0
34.46,6294062,0,0,0
35.46,6298299,0,0,0
36.46,6299665,0,0,0
37.46,6301082,0,0,0
38.47,6301963,0,0,0
39.47,6302829,0,0,0
40.47,6304019,0,0,0
41.47,6309284,0,0,0
42.47,6310606,0,0,0
43.47,6311510,0,0,0
44.47,6312523,0,0,0
45.47,6313370,0,0,0
46.48,6317822,0,0,0
47.48,6319206,0,0,0
48.48,6320610,0,0,0
49.48,6321564,0,0,0
50.48,6322519,0,0,0
51.48,6323484,0,0,0
52.48,6328332,0,0,0
53.49,6329336,0,0,0
54.49,6330164,0,0,0
55.49,6331057,0,0,0
56.49,6332004,0,0,0
57.49,6336077,0,0,0
58.49,6337266,0,0,0
59.49,6338694,0,0,0
60.50,6339836,0,0,0
61.50,6340805,0,0,0
62.50,6342127,0,0,0
63.50,6346094,0,0,0
64.50,6347137,0,0,0
65.50,6348107,0,0,0
66.50,6348979,0,0,0
67.50,6349813,0,0,0
68.50,6354809,0,0,0
69.51,6356152,0,0,0
70.51,6359283,0,0,0
71.51,6362827,0,0,0
72.51,6364396,0,0,0
73.51,6365381,0,0,0
74.51,6375121,0,0,0
75.51,6375941,0,0,0
76.51,6377188,0,0,0
77.52,6378187,0,0,0
78.52,6379188,0,0,0
79.52,6382975,0,0,0
80.52,6384586,0,0,0
81.52,6386024,0,0,0
82.52,6387564,0,0,0
83.52,6388515,0,0,0
84.52,6389560,0,0,0
85.52,6393778,0,0,0
86.53,6394843,0,0,0
87.53,6395874,0,0,0
88.53,6396973,0,0,0
89.53,6397989,0,0,0
90.54,6402373,0,0,0
91.54,6403849,0,0,0
92.54,6405761,0,0,0
93.54,6406936,0,0,0
94.54,6407839,0,0,0
95.54,6408838,0,0,0
96.54,6412949,0,0,0
97.55,6413728,0,0,0
98.55,6414641,0,0,0
99.55,6415605,0,0,0
100.55,6416860,0,0,0
101.55,6420904,0,0,0
102.55,6422755,0,0,0
103.55,6424254,0,0,0
104.55,6425344,0,0,0
105.56,6426371,0,0,0
106.56,6427407,0,0,0
107.56,6431486,0,0,0
108.56,6432524,0,0,0
109.56,6433598,0,0,0
110.56,6434770,0,0,0
111.56,6435809,0,0,0
112.56,6440624,0,0,0
113.56,6442455,0,0,0
114.56,6443377,0,0,0
115.57,6444390,0,0,0
116.57,6445553,0,0,0
117.57,6446501,0,0,0
118.57,6450507,0,0,0
119.57,6451484,0,0,0
120.58,6452634,0,0,0
121.58,6453595,0,0,0
122.59,6454916,0,0,0
123.59,6459239,0,0,0
124.59,6460497,0,0,0
125.60,6461503,0,0,0
126.60,6462530,0,0,0
127.60,6463445,0,0,0
128.60,6464553,0,0,0
129.60,6468905,0,0,0
130.60,6472452,0,0,0
131.60,6473799,0,0,0
132.60,6475356,0,0,0
133.61,6476299,0,0,0
134.61,6483197,0,0,0
135.61,6484466,0,0,0
136.61,6485866,0,0,0
137.61,6487447,0,0,0
138.61,6488481,0,0,0
139.62,6489415,0,0,0
140.62,6493784,0,0,0
141.62,6494809,0,0,0
142.62,6496319,0,0,0
143.62,6497398,0,0,0
144.62,6498525,0,0,0
145.63,6502757,0,0,0
146.63,6504027,0,0,0
147.63,6505510,0,0,0
148.63,6507062,0,0,0
149.63,6508101,0,0,0
150.63,6509199,0,0,0
151.63,6513303,0,0,0
152.63,6514292,0,0,0
153.63,6515759,0,0,0
154.64,6516685,0,0,0
155.64,6517631,0,0,0
156.64,6521520,0,0,0
157.65,6522713,0,0,0
158.65,6523761,0,0,0
159.66,6525154,0,0,0
160.67,6526372,0,0,0
161.67,6527411,0,0,0
162.68,6531282,0,0,0
163.68,6532701,0,0,0
164.68,6533862,0,0,0
165.69,6534859,0,0,0
166.69,6535846,0,0,0
167.69,6539592,0,0,0
168.71,6540811,0,0,0
169.72,6541960,0,0,0
170.72,6543564,0,0,0
171.72,6544437,0,0,0
172.72,6545599,0,0,0
173.72,6550375,0,0,0
174.72,6551542,0,0,0
175.72,6552414,0,0,0
176.73,6553560,0,0,0
177.73,6554538,0,0,0
178.73,6558734,0,0,0
179.73,6559933,0,0,0
180.73,6561247,0,0,0
181.73,6562734,0,0,0
182.73,6563721,0,0,0
183.74,6564967,0,0,0
184.74,6569281,0,0,0
185.74,6570278,0,0,0
186.74,6571295,0,0,0
187.74,6572249,0,0,0
188.74,6573433,0,0,0
189.74,6580567,0,0,0
190.74,6584488,0,0,0
191.74,6585830,0,0,0
192.75,6587391,0,0,0
193.75,6588866,0,0,0
194.75,6589810,0,0,0
195.75,6593590,0,0,0
196.75,6594742,0,0,0
197.75,6595856,0,0,0
198.75,6597003,0,0,0
199.75,6598111,0,0,0
200.76,6602421,0,0,0
201.77,6603776,0,0,0
202.78,6604926,0,0,0
203.78,6606776,0,0,0
204.79,6607840,0,0,0
205.79,6608924,0,0,0
206.79,6613263,0,0,0
207.79,6614289,0,0,0
208.79,6615342,0,0,0
209.79,6616536,0,0,0
210.80,6617734,0,0,0
211.80,6621896,0,0,0
212.80,6623089,0,0,0
213.80,6624433,0,0,0
214.80,6625914,0,0,0
215.80,6626904,0,0,0
216.81,6627982,0,0,0
217.81,6632345,0,0,0
218.81,6633458,0,0,0
219.82,6634454,0,0,0
220.82,6635558,0,0,0
221.82,6636495,0,0,0
222.82,6640664,0,0,0
223.82,6642317,0,0,0
224.83,6643453,0,0,0
225.83,6644641,0,0,0
226.83,6645698,0,0,0
227.83,6646765,0,0,0
228.84,6650904,0,0,0
229.84,6651911,0,0,0
230.85,6653065,0,0,0
231.86,6654245,0,0,0
232.91,6655358,0,0,0
233.93,6660477,0,0,0
234.94,6661479,0,0,0
235.95,6662584,0,0,0
236.96,6663913,0,0,0
237.97,6664854,0,0,0
238.97,6665815,0,0,0
239.98,6670049,0,0,0
240.98,6671168,0,0,0
241.99,6672186,0,0,0
243.06,6673102,0,0,0
244.06,6674523,0,0,0
245.06,6683794,0,0,0
246.14,6685008,0,0,0
247.14,6686002,0,0,0
248.14,6687628,0,0,0
249.18,6688618,0,0,0
250.21,6689645,0,0,0
251.26,6696826,0,0,0
252.32,6697947,0,0,0
253.33,6698853,0,0,0
254.42,6700270,0,0,0
255.43,6701231,0,0,0
256.47,6705509,0,0,0
257.56,6706779,0,0,0
258.56,6708268,0,0,0
259.66,6709298,0,0,0
260.66,6710402,0,0,0
261.66,6714799,0,0,0
262.76,6715698,0,0,0
263.77,6717073,0,0,0
264.77,6718205,0,0,0
265.77,6719123,0,0,0
266.78,6722854,0,0,0
267.79,6724080,0,0,0
268.80,6725266,0,0,0
269.80,6726610,0,0,0
270.81,6727598,0,0,0
271.81,6728647,0,0,0
272.81,6732756,0,0,0
273.90,6734249,0,0,0
274.90,6735158,0,0,0
275.90,6736193,0,0,0
276.98,6737219,0,0,0
277.99,6741467,0,0,0
279.01,6742456,0,0,0
280.01,6743595,0,0,0
281.01,6745130,0,0,0
282.09,6746378,0,0,0
283.18,6747416,0,0,0
284.19,6751757,0,0,0
285.19,6752701,0,0,0
286.19,6753665,0,0,0
287.28,6754593,0,0,0
288.34,6755792,0,0,0
289.35,6760025,0,0,0
290.36,6761079,0,0,0
291.37,6762562,0,0,0
292.39,6763619,0,0,0
293.40,6764610,0,0,0
294.41,6769205,0,0,0
295.43,6770327,0,0,0
296.44,6771442,0,0,0
297.44,6772408,0,0,0
298.44,6773380,0,0,0
299.53,6774404,0,0,0
300.53,6782211,0,0,0
301.53,6783344,0,0,0
302.54,6784749,0,0,0
303.54,6785746,0,0,0
304.55,6787160,0,0,0
305.55,6791557,0,0,0
306.56,6792591,0,0,0
307.57,6793606,0,0,0
308.58,6794570,0,0,0
309.59,6795730,0,0,0
310.59,6796836,0,0,0
311.59,6803064,0,0,0
312.66,6804227,0,0,0
313.66,6805660,0,0,0
314.66,6806932,0,0,0
315.68,6807922,0,0,0
316.69,6812970,0,0,0
317.69,6814038,0,0,0
