t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,9330800,0,0,0
1.01,9332460,0,0,0
2.01,9333405,0,0,0
3.01,9337950,0,0,0
4.02,9339404,0,0,0
5.08,9340887,0,0,0
6.08,9341845,0,0,0
7.08,9342915,0,0,0
8.09,9344024,0,0,0
9.09,9349617,0,0,0
10.09,9350752,0,0,0
11.09,9356242,0,0,0
12.09,9362004,0,0,0
13.09,9364528,0,0,0
14.09,9376753,0,0,0
15.09,9390168,0,0,0
16.09,9391846,0,0,0
17.09,9392736,0,0,0
18.09,9393820,0,0,0
19.10,9394784,0,0,0
20.10,9399417,0,0,0
21.10,9400953,0,0,0
22.10,9402057,0,0,0
23.10,9403080,0,0,0
24.10,9404277,0,0,0
25.10,9409213,0,0,0
26.10,9410404,0,0,0
27.10,9411731,0,0,0
28.10,9412977,0,0,0
29.10,9413979,0,0,0
30.11,9415206,0,0,0
31.11,9420332,0,0,0
32.11,9421474,0,0,0
33.11,9422588,0,0,0
34.11,9423811,0,0,0
35.11,9424745,0,0,0
36.11,9429095,0,0,0
37.11,9430308,0,0,0
38.11,9431775,0,0,0
39.11,9433068,0,0,0
40.11,9434594,0,0,0
41.12,9436193,0,0,0
42.12,9444617,0,0,0
43.12,9445730,0,0,0
44.12,9447098,0,0,0
45.12,9448192,0,0,0
46.12,9449217,0,0,0
47.12,9453367,0,0,0
48.12,9454628,0,0,0
49.12,9456161,0,0,0
50.12,9457266,0,0,0
51.12,9458765,0,0,0
52.13,9460009,0,0,0
53.13,9464331,0,0,0
54.13,9465489,0,0,0
55.13,9466634,0,0,0
56.13,9467743,0,0,0
57.13,9468730,0,0,0
58.13,9473571,0,0,0
59.13,9474780,0,0,0
60.13,9476363,0,0,0
61.13,9477788,0,0,0
62.13,9478762,0,0,0
63.14,9479820,0,0,0
64.14,9484254,0,0,0
65.14,9485333,0,0,0
66.14,9486413,0,0,0
67.14,9487425,0,0,0
68.14,9488462,0,0,0
69.14,9492702,0,0,0
70.14,9493891,0,0,0
71.14,9495758,0,0,0
72.14,9496907,0,0,0
73.14,9497822,0,0,0
74.14,9499049,0,0,0
75.15,9506110,0,0,0
76.15,9507177,0,0,0
77.15,9508057,0,0,0
78.15,9509522,0,0,0
79.15,9510550,0,0,0
80.15,9515382,0,0,0
81.15,9516886,0,0,0
82.15,9518365,0,0,0
83.15,9519235,0,0,0
84.16,9520511,0,0,0
85.16,9521511,0,0,0
86.16,9526087,0,0,0
87.16,9527040,0,0,0
88.16,9528181,0,0,0
89.16,9529145,0,0,0
90.16,9530190,0,0,0
91.16,9535840,0,0,0
92.16,9537024,0,0,0
93.16,9538355,0,0,0
94.16,9539466,0,0,0
95.17,9540483,0,0,0
96.17,9541530,0,0,0
97.17,9549900,0,0,0
98.17,9550989,0,0,0
99.17,9552000,0,0,0
100.17,9553117,0,0,0
101.17,9554620,0,0,0
102.17,9558837,0,0,0
103.17,9559973,0,0,0
104.17,9561710,0,0,0
105.17,9562826,0,0,0
106.18,9563956,0,0,0
107.18,9564892,0,0,0
108.18,9569423,0,0,0
109.18,9570505,0,0,0
110.18,9571515,0,0,0
111.18,9572811,0,0,0
112.18,9573969,0,0,0
113.18,9578534,0,0,0
114.18,9579870,0,0,0
115.18,9581232,0,0,0
116.18,9582275,0,0,0
117.19,9583264,0,0,0
118.19,9584235,0,0,0
119.19,9588984,0,0,0
120.19,9590003,0,0,0
121.19,9591459,0,0,0
122.19,9592427,0,0,0
123.19,9593425,0,0,0
124.19,9598451,0,0,0
125.19,9599586,0,0,0
126.19,9600948,0,0,0
127.19,9601970,0,0,0
128.20,9603109,0,0,0
129.20,9604001,0,0,0
130.20,9609002,0,0,0
131.20,9610343,0,0,0
132.20,9611351,0,0,0
133.20,9612302,0,0,0
134.20,9613484,0,0,0
135.20,9620613,0,0,0
136.20,9621895,0,0,0
137.20,9623242,0,0,0
138.20,9624265,0,0,0
139.21,9625214,0,0,0
140.21,9626251,0,0,0
141.21,9631018,0,0,0
142.21,9632057,0,0,0
143.21,9633011,0,0,0
144.21,9634303,0,0,0
145.21,9635448,0,0,0
146.21,9639823,0,0,0
147.23,9641239,0,0,0
148.23,9642492,0,0,0
149.23,9643400,0,0,0
150.23,9644491,0,0,0
151.23,9645951,0,0,0
152.23,9654312,0,0,0
153.23,9655299,0,0,0
154.23,9656470,0,0,0
155.23,9657477,0,0,0
156.23,9658599,0,0,0
157.23,9662777,0,0,0
158.24,9663797,0,0,0
159.24,9664868,0,0,0
160.24,9665985,0,0,0
161.24,9666973,0,0,0
162.24,9668410,0,0,0
163.24,9672635,0,0,0
164.24,9673835,0,0,0
165.24,9674857,0,0,0
166.25,9675819,0,0,0
167.25,9676819,0,0,0
168.25,9681349,0,0,0
169.26,9682578,0,0,0
170.26,9683658,0,0,0
171.26,9685063,0,0,0
172.26,9686618,0,0,0
173.27,9687561,0,0,0
174.27,9691788,0,0,0
175.27,9692837,0,0,0
176.27,9694086,0,0,0
177.27,9695142,0,0,0
178.27,9696161,0,0,0
179.27,9700771,0,0,0
180.27,9701935,0,0,0
181.27,9703070,0,0,0
182.27,9704936,0,0,0
183.27,9705928,0,0,0
184.28,9707251,0,0,0
185.28,9711485,0,0,0
186.28,9712475,0,0,0
187.28,9713499,0,0,0
188.28,9714643,0,0,0
189.28,9715684,0,0,0
190.28,9721241,0,0,0
191.28,9722232,0,0,0
192.28,9723826,0,0,0
193.28,9725319,0,0,0
194.29,9726470,0,0,0
195.29,9730263,0,0,0
196.29,9735397,0,0,0
197.29,9736483,0,0,0
198.29,9737425,0,0,0
199.29,9738400,0,0,0
200.29,9739581,0,0,0
201.29,9743736,0,0,0
202.29,9745251,0,0,0
203.30,9746361,0,0,0
204.30,9748070,0,0,0
205.30,9749110,0,0,0
206.30,9750140,0,0,0
